age,income,experience_years,education_years,hours_worked_per_week,satisfaction_score,department,city,performance_rating,projects_completed,training_hours,remote_work_ratio,tenure_years,overtime_hours,target_salary
32.0,34543.88,13.0,17.0,35.7,,Engineering,Chittagong,4.0,8.0,42.7,0.51,12.0,12.5,41501.97
69.0,78486.48,48.0,18.0,36.7,5.11,Engineering,Chittagong,3.0,4.0,27.3,0.222,48.0,5.6,78015.32
47.0,53264.5,26.0,12.0,32.0,5.29,Engineering,Rajshahi,1.0,2.0,16.5,0.469,24.0,3.2,57042.53
42.0,58726.24,24.0,8.0,33.5,7.58,Sales,Chittagong,4.0,,2.5,0.698,24.0,5.6,52430.49
68.0,70069.12,49.0,11.0,20.6,4.39,Engineering,Dhaka,4.0,6.0,2.6,0.528,47.0,9.2,72349.34
68.0,73642.96,48.0,15.0,39.1,6.37,Finance,Rajshahi,2.0,9.0,6.7,0.5,46.0,6.1,81055.67
25.0,45784.75,7.0,18.0,61.7,8.41,Finance,sylhet,3.0,6.0,24.6,0.496,6.0,11.3,42531.54
21.0,35963.56,0.0,8.0,54.5,8.48,Sales,Dhaka,5.0,5.0,13.7,0.507,0.0,,28518.38
67.0,73560.82,48.0,18.0,54.4,5.14,Sales,Sylhet,5.0,4.0,34.0,0.445,47.0,9.8,81667.05
30.0,52329.29,12.0,18.0,43.1,7.44,Marketing,Dhaka,3.0,4.0,18.6,0.74,,8.3,41116.12
42.0,51125.13,22.0,10.0,42.6,6.43,Engineering,Dhaka,3.0,9.0,49.6,0.218,22.0,7.7,43809.17
31.0,67184.25,11.0,14.0,29.6,6.76,Marketing,Dhaka,2.0,11.0,22.5,0.765,10.0,6.6,55773.82
38.0,54773.82,16.0,19.0,23.7,6.08,Marketing,Chittagong,3.0,6.0,9.6,,15.0,2.8,39830.61
45.0,51354.18,25.0,11.0,43.1,5.85,Sales,Dhaka,5.0,5.0,34.5,0.262,25.0,8.6,45933.16
66.0,75062.06,48.0,8.0,29.1,7.57,Finance,Rajshahi,3.0,8.0,4.7,0.466,46.0,1.5,80867.34
29.0,48211.25,7.0,17.0,34.3,7.82,Sales,Rajshahi,5.0,7.0,17.8,0.536,5.0,0.0,41935.51
23.0,42110.5,1.0,19.0,41.3,4.53,Finance,Rajshahi,3.0,4.0,105.2,0.742,0.0,3.6,26198.29
42.0,49785.28,22.0,13.0,36.7,8.64,Engineering,Khulna,4.0,4.0,47.4,0.207,20.0,4.0,52118.79
19.0,45954.78,,10.0,36.2,8.69,Engineering,Khulna,3.0,7.0,21.4,0.375,0.0,1.4,35185.97
45.0,43664.39,24.0,12.0,43.5,6.28,Finance,Sylhet,4.0,6.0,15.7,0.409,22.0,5.3,57794.4
60.0,75038.35,40.0,9.0,23.0,6.23,Sales,Dhaka,5.0,0.0,9.4,0.06,39.0,2.6,66128.51
69.0,63575.63,49.0,13.0,40.4,6.28,HR,Dhaka,3.0,3.0,46.8,0.748,48.0,5.0,76823.11
49.0,60237.94,31.0,11.0,42.0,5.9,HR,Khulna,1.0,5.0,12.1,0.064,31.0,8.9,59959.62
37.0,,16.0,17.0,48.9,8.49,Engineering,Dhaka,4.0,1.0,21.6,0.265,14.0,8.9,49695.14
20.0,27004.7,1.0,11.0,39.8,9.07,Engineering,Chittagong,3.0,2.0,18.0,0.089,1.0,4.4,28760.61
68.0,69592.19,48.0,18.0,20.5,8.93,Finance,Chittagong,3.0,4.0,56.7,0.62,46.0,6.7,71273.69
33.0,,11.0,9.0,33.7,,Engineering,Khulna,2.0,5.0,7.7,0.182,11.0,10.6,31190.49
50.0,50286.5,28.0,18.0,38.2,,Engineering,Chittagong,4.0,0.0,20.4,0.367,26.0,2.7,59177.17
38.0,49882.69,17.0,19.0,36.1,6.55,Marketing,Dhaka,3.0,4.0,11.3,0.161,17.0,0.0,49198.61
58.0,56913.92,37.0,18.0,33.6,4.06,Engineering,Rajshahi,3.0,5.0,81.4,0.516,35.0,0.0,59015.39
65.0,58233.52,43.0,12.0,42.5,7.89,Sales,Rajshahi,3.0,5.0,23.3,0.839,43.0,,71823.72
67.0,75715.35,49.0,17.0,60.1,6.76,Finance,Dhaka,4.0,8.0,15.2,0.761,47.0,4.9,83735.53
60.0,60563.96,40.0,11.0,17.2,9.54,HR,Rajshahi,4.0,3.0,14.6,0.636,38.0,7.0,
33.0,45692.96,13.0,9.0,54.1,6.74,Sales,Dhaka,3.0,4.0,4.2,0.209,12.0,8.8,
60.0,75478.39,40.0,9.0,32.5,6.94,Finance,Dhaka,3.0,4.0,6.8,0.582,38.0,2.9,70406.85
68.0,77165.28,47.0,17.0,33.2,8.05,Sales,Chittagong,4.0,2.0,25.2,0.264,46.0,3.1,74236.88
69.0,69650.01,51.0,10.0,26.8,6.5,HR,Rajshahi,4.0,2.0,8.3,0.847,49.0,4.3,77057.23
20.0,34487.53,0.0,9.0,40.1,5.54,Finance,Chittagong,3.0,7.0,10.9,0.898,0.0,,26576.98
27.0,51718.0,7.0,9.0,33.9,6.98,HR,Dhaka,5.0,8.0,13.0,0.842,5.0,0.0,42308.96
36.0,46260.31,18.0,18.0,36.2,6.87,HR,Rajshahi,3.0,4.0,36.7,0.751,17.0,10.2,47074.91
28.0,48151.07,9.0,13.0,34.5,6.43,Sales,Sylhet,3.0,5.0,9.2,0.369,7.0,4.2,45434.22
34.0,46494.5,16.0,9.0,30.7,4.78,Finance,Rajshahi,5.0,3.0,29.7,0.237,15.0,2.5,42429.52
18.0,26844.07,0.0,14.0,27.7,4.61,Finance,Rajshahi,3.0,7.0,1.1,0.512,0.0,6.0,27647.65
60.0,78119.77,41.0,12.0,43.6,9.45,Engineering,Khulna,4.0,0.0,1.2,0.755,,9.0,73371.2
23.0,35873.1,4.0,12.0,45.6,6.78,Sales,Chittagong,5.0,6.0,28.2,0.289,3.0,8.9,27570.65
46.0,50558.33,28.0,,29.5,5.76,Engineering,Sylhet,3.0,4.0,17.1,0.184,28.0,5.6,57182.98
45.0,44614.38,26.0,17.0,32.1,4.86,HR,Khulna,3.0,5.0,5.5,0.551,25.0,6.7,45654.24
41.0,50750.09,21.0,9.0,33.7,4.38,Finance,Sylhet,4.0,9.0,64.8,0.387,19.0,13.2,49880.53
32.0,39156.48,14.0,12.0,40.3,6.3,Engineering,Khulna,3.0,9.0,21.5,0.239,14.0,8.8,44434.73
27.0,40124.45,9.0,9.0,34.0,7.24,Engineering,Khulna,3.0,1.0,6.9,,8.0,3.5,
22.0,31532.57,1.0,9.0,42.2,4.06,Finance,Dhaka,4.0,5.0,152.1,0.723,1.0,11.0,27662.54
48.0,64471.26,29.0,13.0,35.0,7.39,Sales,Chittagong,3.0,4.0,26.7,0.616,28.0,3.7,65217.48
27.0,43251.28,5.0,8.0,38.6,7.64,Marketing,Dhaka,4.0,8.0,2.6,0.92,4.0,6.1,42249.16
,73496.09,32.0,8.0,45.4,8.14,HR,Khulna,1.0,1.0,5.6,0.698,31.0,6.5,70151.52
58.0,78069.95,37.0,12.0,42.5,6.54,Sales,rajshahi,4.0,6.0,30.9,0.121,35.0,4.7,76878.3
64.0,69653.23,45.0,10.0,46.8,,Marketing,Sylhet,3.0,3.0,12.3,0.434,44.0,0.0,69141.46
44.0,70904.9,25.0,19.0,45.2,7.66,HR,Sylhet,5.0,4.0,0.9,0.616,24.0,2.0,68646.12
,41524.72,8.0,18.0,35.2,5.2,Sales,Sylhet,5.0,3.0,20.4,0.473,7.0,3.5,42617.86
68.0,83105.19,48.0,10.0,43.6,6.03,Finance,Sylhet,3.0,3.0,20.7,0.275,48.0,4.4,74515.19
57.0,50487.09,36.0,17.0,40.0,6.95,Sales,Sylhet,5.0,6.0,4.2,0.781,35.0,10.9,67329.32
24.0,27762.77,5.0,19.0,33.3,5.43,Finance,Dhaka,5.0,7.0,3.5,0.667,5.0,1.6,33187.67
35.0,,16.0,17.0,35.7,4.04,Sales,Rajshahi,2.0,8.0,30.6,0.318,16.0,0.0,38329.22
47.0,55421.94,28.0,9.0,37.6,4.49,Engineering,Chittagong,4.0,4.0,48.0,0.09,28.0,8.4,46225.99
53.0,52495.91,34.0,13.0,36.3,7.25,Engineering,Rajshahi,5.0,6.0,32.5,0.488,33.0,9.1,52767.92
60.0,61373.53,39.0,8.0,54.8,6.08,Engineering,Rajshahi,3.0,0.0,,0.424,38.0,11.4,66293.47
64.0,70922.6,43.0,14.0,44.6,8.02,HR,Chittagong,3.0,8.0,9.0,0.483,43.0,7.2,73985.66
36.0,52941.43,16.0,13.0,33.3,7.55,Finance,Chittagong,3.0,7.0,21.3,0.546,14.0,5.9,54194.53
21.0,36878.29,3.0,8.0,30.7,8.56,Marketing,Sylhet,3.0,6.0,13.1,0.387,3.0,4.3,22271.51
29.0,37396.43,8.0,11.0,31.3,7.75,Finance,Dhaka,4.0,2.0,14.5,0.402,7.0,5.9,32085.45
45.0,48359.65,26.0,8.0,45.6,3.52,Engineering,Rajshahi,3.0,,4.3,0.643,25.0,1.5,40418.84
,39830.99,12.0,8.0,35.5,7.65,Sales,Chittagong,5.0,5.0,14.7,0.695,11.0,6.1,45735.52
38.0,55388.13,20.0,9.0,33.4,10.0,Sales,Dhaka,4.0,3.0,8.2,0.514,,4.4,44934.23
23.0,37323.65,1.0,13.0,49.3,5.5,Engineering,Khulna,1.0,3.0,7.3,0.384,1.0,6.7,31685.61
59.0,88337.66,37.0,14.0,54.8,6.54,Sales,Chittagong,4.0,7.0,10.2,0.355,36.0,4.8,79008.71
19.0,27989.48,0.0,16.0,,10.0,Engineering,Chittagong,3.0,6.0,13.7,0.363,0.0,11.5,32432.67
37.0,243241.83,18.0,19.0,36.8,7.26,Sales,Rajshahi,4.0,5.0,22.6,0.812,17.0,8.6,122287.65
37.0,58456.17,19.0,10.0,62.4,7.45,Sales,Rajshahi,2.0,7.0,13.2,0.455,18.0,8.3,48101.27
37.0,41202.37,18.0,19.0,44.8,5.16,Sales,Chittagong,3.0,1.0,30.1,0.743,18.0,3.7,40980.65
19.0,26126.25,0.0,13.0,29.6,7.85,Engineering,Chittagong,4.0,9.0,25.9,0.508,0.0,6.5,21180.51
57.0,73860.29,37.0,9.0,18.0,3.62,Sales,Rajshahi,1.0,5.0,16.2,0.958,36.0,13.0,70841.14
24.0,45556.37,4.0,12.0,43.6,6.67,Finance,rajshahi,4.0,6.0,1.8,0.833,2.0,9.1,38601.65
31.0,43075.65,9.0,9.0,33.2,7.15,Finance,Rajshahi,4.0,3.0,19.5,0.228,8.0,10.0,37413.52
63.0,65234.15,43.0,13.0,44.9,4.91,Sales,Khulna,,3.0,28.5,0.078,43.0,6.9,72075.6
27.0,39949.22,8.0,11.0,45.0,9.97,Sales,Chittagong,5.0,4.0,15.0,0.16,7.0,13.3,33185.31
31.0,63866.93,12.0,9.0,34.9,,Finance,Khulna,5.0,3.0,1.3,0.905,11.0,4.0,67187.94
69.0,89156.76,49.0,16.0,45.5,6.3,Marketing,Rajshahi,4.0,6.0,65.6,0.695,47.0,0.2,79525.41
20.0,36812.18,0.0,12.0,34.6,7.12,Sales,Khulna,5.0,4.0,4.2,0.464,0.0,8.7,24827.86
58.0,70030.78,36.0,16.0,35.5,6.36,Engineering,Chittagong,4.0,7.0,7.9,0.657,36.0,0.0,68482.01
31.0,243403.05,11.0,17.0,39.1,8.87,Sales,Rajshahi,3.0,2.0,0.2,0.225,11.0,1.8,178899.35
60.0,67260.5,38.0,14.0,38.9,8.04,Engineering,Dhaka,,1.0,53.4,0.334,38.0,2.0,72894.85
44.0,54430.61,26.0,14.0,34.9,9.13,Finance,Dhaka,4.0,4.0,11.2,0.674,25.0,1.8,55336.26
60.0,80161.77,42.0,14.0,33.9,6.72,Marketing,Rajshahi,1.0,4.0,4.3,0.36,41.0,8.2,74245.43
46.0,45028.49,28.0,15.0,35.5,6.12,Finance,Sylhet,4.0,6.0,18.9,0.587,27.0,0.0,44595.67
53.0,43353.22,32.0,12.0,28.3,7.25,Engineering,Khulna,2.0,7.0,19.1,0.581,31.0,3.7,46387.97
22.0,44454.67,4.0,11.0,36.5,8.11,Finance,Khulna,5.0,4.0,73.0,0.23,4.0,0.0,50104.72
32.0,48032.59,12.0,11.0,44.1,6.72,Sales,Chittagong,3.0,7.0,49.1,0.342,12.0,12.7,35794.17
47.0,47391.09,29.0,12.0,39.9,6.52,Engineering,Chittagong,4.0,1.0,13.6,0.797,29.0,15.4,55165.86
,54809.79,26.0,11.0,39.3,4.51,Sales,Khulna,4.0,1.0,21.1,0.746,25.0,9.3,54651.94
19.0,49525.25,1.0,19.0,32.9,4.85,Engineering,Rajshahi,3.0,4.0,15.9,0.275,0.0,7.0,44543.36
34.0,41570.76,15.0,10.0,46.5,6.74,HR,Dhaka,4.0,4.0,45.5,0.463,13.0,2.5,39012.29
41.0,65150.93,20.0,19.0,33.8,7.71,Marketing,Khulna,2.0,3.0,25.4,0.629,18.0,13.6,61831.07
,44647.38,30.0,17.0,38.6,6.1,Engineering,DHAKA,4.0,4.0,54.6,0.19,28.0,8.4,51081.43
48.0,45292.19,30.0,9.0,40.7,9.54,Engineering,Sylhet,2.0,6.0,22.4,0.841,28.0,0.3,54384.9
31.0,54636.91,13.0,15.0,43.3,6.18,sales,Rajshahi,4.0,6.0,19.3,0.771,11.0,1.3,47284.03
37.0,42898.54,,8.0,55.7,7.69,Engineering,Dhaka,4.0,5.0,11.2,0.294,16.0,0.0,47685.1
27.0,38747.28,5.0,10.0,30.0,5.53,Engineering,khulna,3.0,5.0,10.3,0.58,4.0,2.3,20139.04
59.0,61893.51,38.0,13.0,36.7,7.07,HR,Sylhet,4.0,2.0,48.7,0.234,36.0,11.7,58973.18
24.0,59013.89,3.0,10.0,48.2,7.11,Marketing,Dhaka,3.0,2.0,6.8,0.198,3.0,1.2,52146.27
30.0,44841.41,8.0,17.0,36.4,8.32,Engineering,Rajshahi,1.0,1.0,2.4,0.761,,1.1,30348.76
66.0,64089.07,48.0,12.0,29.6,5.07,HR,Dhaka,3.0,3.0,16.2,0.555,48.0,0.2,65397.86
46.0,53537.92,24.0,9.0,47.6,7.55,Engineering,Dhaka,2.0,6.0,6.0,0.527,23.0,5.5,51979.1
65.0,70519.75,43.0,18.0,50.0,6.6,Marketing,Khulna,1.0,2.0,5.5,0.674,42.0,1.8,82088.02
28.0,35664.35,10.0,16.0,44.3,7.25,Marketing,Khulna,4.0,5.0,7.4,0.327,9.0,3.5,34453.73
40.0,47385.53,20.0,14.0,36.3,4.57,Engineering,Rajshahi,2.0,3.0,33.8,0.558,19.0,0.0,44407.45
49.0,56339.3,29.0,18.0,38.1,6.61,Sales,Chittagong,3.0,2.0,30.5,0.152,28.0,1.6,55354.76
22.0,30454.53,0.0,11.0,34.5,7.03,HR,Dhaka,3.0,8.0,0.2,0.588,0.0,,26650.08
37.0,43330.34,16.0,10.0,44.7,3.56,Sales,Sylhet,4.0,7.0,1.1,0.355,14.0,2.8,35713.58
31.0,50820.89,9.0,19.0,42.4,9.12,Engineering,Rajshahi,3.0,7.0,4.2,0.134,8.0,10.9,46653.26
56.0,64639.5,35.0,12.0,45.4,,Marketing,Rajshahi,4.0,5.0,1.0,0.222,35.0,3.3,62123.06
,55646.99,11.0,8.0,35.1,10.0,Marketing,Khulna,5.0,7.0,13.6,0.567,11.0,9.2,48726.6
21.0,43085.32,3.0,8.0,37.2,9.1,Finance,Khulna,4.0,3.0,25.7,0.83,3.0,10.8,47447.24
21.0,41971.45,2.0,14.0,39.9,5.56,Marketing,Rajshahi,4.0,3.0,12.2,0.638,2.0,,31137.52
47.0,45888.98,29.0,14.0,30.8,5.63,Engineering,Chittagong,4.0,4.0,3.1,0.457,28.0,4.6,53857.68
21.0,41315.55,3.0,11.0,53.6,8.85,Marketing,Rajshahi,4.0,5.0,10.9,,1.0,7.0,29797.31
37.0,38038.04,19.0,10.0,43.3,8.97,Marketing,Sylhet,5.0,9.0,16.6,0.858,19.0,6.6,33575.57
69.0,73447.72,49.0,10.0,29.6,7.79,Engineering,Chittagong,4.0,3.0,48.8,0.844,47.0,6.1,75484.46
24.0,56353.63,3.0,14.0,35.7,5.25,HR,Khulna,3.0,5.0,12.4,0.548,2.0,5.6,47267.07
48.0,62619.56,29.0,16.0,48.3,7.22,Sales,Dhaka,4.0,4.0,8.4,0.647,29.0,3.7,59821.24
36.0,49390.4,18.0,17.0,17.8,7.79,Finance,Rajshahi,4.0,4.0,11.7,0.473,,9.0,42107.53
25.0,31219.85,5.0,11.0,33.8,7.73,Engineering,Rajshahi,4.0,7.0,4.9,0.618,4.0,4.4,29034.96
22.0,49535.11,2.0,,36.4,7.72,Sales,Chittagong,3.0,9.0,1.2,0.458,,6.8,48419.35
55.0,71313.04,36.0,8.0,38.3,7.77,HR,Dhaka,4.0,7.0,5.6,0.247,35.0,5.7,70745.74
,57590.25,30.0,16.0,52.6,7.08,HR,Chittagong,3.0,5.0,,0.705,29.0,0.0,52226.86
18.0,39819.19,0.0,19.0,31.1,9.38,HR,Sylhet,3.0,4.0,4.4,0.746,0.0,0.5,44421.78
52.0,74717.13,34.0,9.0,27.9,8.13,Finance,Rajshahi,4.0,9.0,20.0,0.559,34.0,10.9,
63.0,61684.87,43.0,11.0,44.0,5.69,Finance,Khulna,,5.0,5.9,0.688,41.0,8.3,61107.54
57.0,56279.1,38.0,8.0,43.6,8.15,Finance,dhaka,3.0,4.0,16.5,0.493,38.0,6.6,54653.94
47.0,47377.56,28.0,12.0,38.1,9.14,Sales,Khulna,3.0,,32.9,0.697,27.0,0.9,42516.91
66.0,67667.87,44.0,15.0,34.0,6.42,Finance,Rajshahi,4.0,2.0,38.6,0.35,42.0,7.1,59962.64
31.0,45463.98,10.0,19.0,40.7,6.88,Sales,Rajshahi,4.0,2.0,2.5,0.564,9.0,0.0,46884.42
21.0,41539.82,3.0,14.0,47.8,7.3,Marketing,Khulna,5.0,3.0,5.6,0.606,1.0,3.6,34582.22
22.0,44088.85,1.0,15.0,34.7,3.41,Sales,Chittagong,3.0,2.0,42.6,0.353,0.0,3.2,32669.27
67.0,76985.63,,17.0,44.9,6.51,Finance,Sylhet,4.0,8.0,3.4,0.113,48.0,14.4,83162.53
51.0,68070.3,29.0,18.0,45.5,8.36,Finance,Khulna,4.0,4.0,11.6,0.691,27.0,4.5,72341.47
53.0,56183.72,35.0,12.0,45.3,6.3,Engineering,Sylhet,5.0,4.0,30.3,0.387,33.0,6.6,52752.74
23.0,37482.17,1.0,8.0,37.8,7.09,HR,Rajshahi,4.0,5.0,2.0,0.116,0.0,8.9,
28.0,43417.76,6.0,18.0,37.7,6.36,Engineering,Sylhet,2.0,,9.3,0.707,,,
44.0,49331.97,23.0,17.0,40.8,6.51,Engineering,Khulna,3.0,4.0,36.0,0.689,22.0,0.4,56761.57
23.0,35687.63,2.0,14.0,32.2,3.92,Sales,Khulna,3.0,10.0,61.2,0.351,2.0,3.9,36065.04
43.0,40369.23,22.0,11.0,40.2,5.05,Marketing,Rajshahi,3.0,2.0,11.0,0.824,21.0,7.2,41709.17
25.0,36132.41,4.0,10.0,30.6,6.16,Finance,Chittagong,3.0,4.0,,0.474,3.0,5.8,28811.39
27.0,42069.21,6.0,9.0,34.5,7.93,Engineering,Sylhet,5.0,2.0,18.2,0.705,6.0,2.2,23443.82
42.0,50254.17,20.0,19.0,42.5,8.93,Marketing,Rajshahi,4.0,5.0,24.5,0.498,18.0,0.0,45147.95
53.0,63055.57,34.0,15.0,43.7,5.79,Marketing,Sylhet,3.0,6.0,6.2,0.157,34.0,6.8,58639.58
38.0,59464.93,19.0,13.0,30.0,6.09,Sales,Chittagong,5.0,7.0,29.7,0.565,17.0,7.3,47867.95
57.0,72946.99,37.0,8.0,37.1,7.62,Marketing,Dhaka,3.0,3.0,12.1,0.753,37.0,0.5,77649.01
54.0,50701.93,34.0,8.0,31.1,6.18,Engineering,Khulna,1.0,5.0,15.8,0.765,33.0,8.7,61688.87
32.0,51634.4,11.0,15.0,52.3,7.48,HR,Sylhet,5.0,6.0,32.2,0.331,9.0,2.7,49457.09
36.0,49005.05,17.0,10.0,55.7,7.32,Engineering,Khulna,2.0,5.0,10.7,0.701,16.0,4.3,41807.66
29.0,42160.31,11.0,8.0,49.0,6.99,HR,Dhaka,2.0,2.0,0.3,0.408,9.0,7.4,35599.58
44.0,52954.46,24.0,14.0,52.0,6.85,Finance,Rajshahi,1.0,7.0,27.0,0.85,24.0,9.9,57785.01
28.0,45464.31,6.0,18.0,27.7,6.41,Finance,Khulna,3.0,5.0,1.7,0.871,6.0,0.8,39765.09
55.0,60454.33,36.0,8.0,41.1,6.32,Finance,Sylhet,3.0,6.0,25.6,0.214,35.0,8.1,54838.75
67.0,73209.37,48.0,19.0,38.6,,HR,Dhaka,3.0,7.0,27.2,0.418,46.0,4.0,80295.98
40.0,57115.22,22.0,9.0,48.1,6.69,Engineering,Chittagong,4.0,9.0,12.7,0.321,21.0,0.4,64699.04
64.0,63320.12,43.0,9.0,44.9,6.28,Sales,Chittagong,3.0,9.0,27.6,0.609,42.0,7.6,64740.41
39.0,55370.12,17.0,12.0,41.2,5.99,HR,Chittagong,3.0,5.0,10.2,0.778,16.0,0.0,52199.6
23.0,32954.46,4.0,18.0,41.7,8.02,Sales,Chittagong,4.0,5.0,5.0,0.825,3.0,3.3,30454.09
36.0,,,12.0,44.5,7.5,HR,Sylhet,3.0,5.0,32.7,0.093,17.0,4.2,38362.29
31.0,42623.63,11.0,15.0,23.2,8.02,Engineering,Dhaka,3.0,5.0,9.5,,10.0,4.1,36898.6
65.0,51937.88,45.0,11.0,44.7,6.65,Engineering,Chittagong,5.0,6.0,7.0,0.578,44.0,2.8,61352.07
21.0,34017.2,2.0,11.0,38.4,7.02,HR,Khulna,3.0,7.0,10.6,0.534,2.0,4.0,39629.96
47.0,49570.5,26.0,16.0,41.2,4.59,Marketing,Dhaka,3.0,8.0,20.9,0.648,24.0,3.0,45641.75
56.0,66258.45,36.0,15.0,44.0,8.31,Marketing,Rajshahi,4.0,5.0,44.2,0.741,36.0,2.5,70277.24
45.0,63586.93,27.0,11.0,36.9,8.43,Marketing,Chittagong,5.0,8.0,1.9,0.109,25.0,7.9,69700.84
48.0,60866.23,27.0,16.0,47.3,,Sales,Khulna,2.0,,3.4,0.224,25.0,9.1,56616.1
26.0,37392.99,6.0,19.0,46.8,6.54,Engineering,khulna,4.0,4.0,15.0,0.609,5.0,2.4,33369.67
60.0,75305.61,39.0,13.0,46.9,6.33,Engineering,DHAKA,,5.0,40.8,0.361,39.0,1.4,72389.75
29.0,49996.07,10.0,15.0,37.0,7.11,Marketing,Dhaka,4.0,4.0,,0.146,10.0,3.9,54999.06
65.0,67780.65,46.0,14.0,51.3,6.04,Engineering,Sylhet,4.0,6.0,8.5,0.859,44.0,1.2,74194.79
,32568.15,3.0,14.0,34.9,8.89,Marketing,Sylhet,3.0,3.0,41.6,0.304,3.0,9.2,30581.11
62.0,69360.97,40.0,14.0,31.4,6.55,Engineering,Dhaka,5.0,6.0,31.6,0.633,39.0,0.0,72755.54
63.0,,41.0,9.0,42.2,5.6,Engineering,Khulna,3.0,8.0,12.3,0.21,41.0,3.2,67200.2
31.0,67538.54,10.0,9.0,47.4,9.51,Engineering,Chittagong,4.0,,9.8,0.153,9.0,5.0,52075.27
29.0,38031.58,7.0,18.0,49.7,7.62,HR,Rajshahi,3.0,6.0,21.2,0.378,7.0,9.9,40143.58
45.0,52636.0,24.0,15.0,40.2,7.39,Sales,Khulna,3.0,3.0,13.1,0.515,23.0,0.0,40674.77
22.0,22446.49,2.0,15.0,46.5,,Sales,Sylhet,4.0,8.0,7.0,0.226,1.0,4.5,28310.55
53.0,66003.37,33.0,13.0,34.8,10.0,Sales,Khulna,4.0,12.0,14.3,0.582,32.0,7.7,74768.08
18.0,39292.39,0.0,14.0,56.6,10.0,Eng,Sylhet,3.0,6.0,3.4,0.502,0.0,8.9,32045.41
21.0,34913.05,1.0,16.0,42.3,6.41,Engineering,Sylhet,3.0,5.0,24.4,0.409,1.0,10.1,21353.04
26.0,39279.85,8.0,18.0,48.0,7.38,Sales,Khulna,3.0,4.0,28.3,0.413,7.0,0.4,30500.89
68.0,81466.66,46.0,15.0,48.5,8.22,Sales,Sylhet,3.0,4.0,4.2,0.908,45.0,8.6,73797.34
33.0,51390.64,14.0,18.0,44.1,7.8,Engineering,Khulna,3.0,8.0,9.1,0.663,13.0,4.9,55218.21
,47060.38,12.0,17.0,32.5,7.58,Sales,Dhaka,2.0,4.0,25.2,0.426,10.0,8.4,34018.61
52.0,45945.61,33.0,16.0,39.3,5.95,HR,Dhaka,5.0,8.0,5.9,,31.0,3.3,55252.31
64.0,90853.83,,8.0,46.3,6.34,Sales,Rajshahi,3.0,1.0,30.0,0.657,44.0,3.4,86494.38
40.0,42436.93,20.0,13.0,35.9,8.9,Engineering,Chittagong,5.0,,13.6,0.227,20.0,7.2,
25.0,37003.26,4.0,9.0,48.2,6.75,Finance,Chittagong,4.0,9.0,,0.205,4.0,11.3,39199.26
31.0,54473.72,12.0,18.0,42.7,6.93,Engineering,Khulna,3.0,5.0,27.8,0.432,11.0,10.8,45056.48
51.0,49242.15,31.0,16.0,0.0,7.57,Marketing,Rajshahi,5.0,5.0,1.4,0.331,31.0,12.6,61329.11
49.0,55797.21,31.0,18.0,17.4,5.09,Sales,Khulna,4.0,4.0,16.5,,29.0,5.8,48497.02
18.0,34481.17,0.0,15.0,29.6,7.76,Engineering,Khulna,3.0,6.0,,,0.0,5.9,30885.79
44.0,44809.96,26.0,19.0,27.9,7.37,Engineering,Chittagong,3.0,4.0,3.2,0.739,26.0,8.3,59325.77
38.0,36292.57,18.0,15.0,33.8,7.04,Engineering,Sylhet,4.0,7.0,18.8,0.632,18.0,5.3,39967.61
69.0,75927.2,48.0,8.0,29.2,6.54,Sales,Dhaka,3.0,8.0,17.3,0.521,47.0,3.5,75455.56
41.0,44940.22,21.0,19.0,43.8,8.25,HR,Khulna,4.0,6.0,5.3,0.798,20.0,9.6,47353.54
19.0,25936.93,1.0,13.0,52.6,7.05,Engineering,Chittagong,4.0,3.0,20.7,0.488,0.0,0.0,14217.43
24.0,23579.96,3.0,8.0,32.6,6.57,HR,Chittagong,2.0,4.0,5.8,0.18,1.0,0.3,21249.91
28.0,20187.39,8.0,9.0,55.1,5.53,HR,Dhaka,2.0,3.0,13.0,0.472,6.0,4.2,16665.92
67.0,60005.19,45.0,11.0,51.3,8.1,Sales,Dhaka,4.0,3.0,9.2,0.634,,4.1,61973.81
58.0,68120.76,40.0,18.0,21.6,7.7,Sales,Sylhet,3.0,7.0,0.0,0.552,38.0,2.2,73903.99
43.0,43999.91,21.0,18.0,45.5,8.36,Engineering,Dhaka,3.0,7.0,9.9,0.326,20.0,8.5,41985.37
21.0,44347.16,0.0,10.0,33.7,7.59,Finance,Rajshahi,3.0,0.0,7.2,0.062,0.0,12.1,32488.28
35.0,59076.34,15.0,11.0,,6.58,Finance,Dhaka,3.0,7.0,9.0,0.635,14.0,6.4,56079.15
,33772.81,0.0,9.0,44.5,6.47,Engineering,Dhaka,1.0,9.0,1.1,0.276,0.0,3.8,19792.28
26.0,38973.27,5.0,12.0,31.0,8.11,Marketing,Rajshahi,4.0,5.0,70.8,0.627,3.0,2.2,28981.76
22.0,34681.15,0.0,15.0,42.3,6.06,Marketing,Sylhet,2.0,,99.8,0.558,0.0,0.0,28153.83
61.0,76961.96,39.0,9.0,32.7,5.44,Engineering,Chittagong,,2.0,4.0,0.467,37.0,9.5,70871.73
25.0,43155.92,7.0,18.0,39.7,10.0,Sales,Sylhet,3.0,5.0,34.4,0.498,6.0,12.1,39681.27
34.0,50827.83,16.0,13.0,56.8,4.33,Marketing,Sylhet,3.0,7.0,30.8,0.511,14.0,13.4,50801.27
